13711.984,3310381.407,270.643
13712.592,3310384.307,270.659
13714.645,3310394.094,270.707
13716.698,3310403.881,270.677
13718.751,3310413.668,270.544
13720.804,3310423.455,270.314
13722.759,3310433.261,270.061
13724.438,3310443.119,269.807
13725.834,3310453.021,269.553
13726.947,3310462.958,269.358
13727.849,3310472.917,269.313
13728.74,3310482.877,269.421
13729.631,3310492.837,269.682
13730.522,3310502.798,270.094
13731.413,3310512.758,270.601
13732.304,3310522.718,271.109
13733.195,3310532.678,271.618
13734.087,3310542.639,272.126
13734.978,3310552.599,272.626
13735.711,3310562.571,273.042
13736.076,3310572.564,273.354
13736.071,3310582.563,273.562
13735.695,3310592.556,273.666
13734.95,3310602.527,273.667
13733.836,3310612.465,273.564
13732.355,3310622.354,273.357
13730.509,3310632.181,273.047
13728.3,3310641.934,272.632
13725.731,3310651.598,272.114
13722.806,3310661.16,271.492
13719.529,3310670.607,270.808
13715.905,3310679.926,270.123
13711.938,3310689.105,269.439
13707.634,3310698.131,268.754
13703.004,3310706.993,268.069
13698.259,3310715.796,267.384
13693.515,3310724.599,266.699
13688.77,3310733.402,266.014
13684.026,3310742.204,265.329
13679.281,3310751.007,264.645
13674.536,3310759.81,263.96
13669.792,3310768.613,263.275
13665.047,3310777.416,262.59
13660.303,3310786.219,261.905
13655.558,3310795.021,261.22
13650.814,3310803.824,260.536
13646.069,3310812.627,259.851
13641.325,3310821.43,259.166
13636.58,3310830.233,258.481
13631.836,3310839.035,257.796
13627.091,3310847.838,257.111
13622.347,3310856.641,256.427
13617.602,3310865.444,255.742
13612.858,3310874.247,255.057
13608.113,3310883.05,254.372
13603.369,3310891.852,253.694
13598.624,3310900.655,253.094
13593.88,3310909.458,252.589
13589.135,3310918.261,252.18
13584.391,3310927.064,251.867
13579.646,3310935.866,251.65
13574.841,3310944.636,251.528
13569.653,3310953.183,251.503
13564.044,3310961.46,251.573
13558.028,3310969.447,251.739
13551.62,3310977.123,251.994
13544.837,3310984.469,252.267
13537.695,3310991.467,252.501
13530.212,3310998.099,252.669
13522.407,3311004.35,252.769
13514.457,3311010.416,252.801
13506.508,3311016.482,252.767
13498.558,3311022.549,252.666
13490.608,3311028.615,252.498
13482.658,3311034.682,252.263
13474.708,3311040.748,251.96
13466.759,3311046.815,251.591
13458.809,3311052.881,251.155
13450.859,3311058.947,250.651
13442.909,3311065.014,250.081
13434.96,3311071.08,249.443
13427.01,3311077.147,248.738
13419.06,3311083.213,247.967
13411.11,3311089.28,247.128
13403.161,3311095.346,246.222
13395.211,3311101.412,245.249
13387.261,3311107.479,244.209
13379.326,3311113.564,243.102
13371.629,3311119.947,241.928
13364.262,3311126.707,240.727
13357.241,3311133.827,239.525
13350.585,3311141.288,238.323
13344.31,3311149.073,237.121
13338.431,3311157.162,235.919
13332.965,3311165.534,234.718
13327.924,3311174.169,233.516
13323.321,3311183.046,232.314
13319.167,3311192.141,231.112
13315.472,3311201.432,229.91
13312.247,3311210.897,228.709
13309.499,3311220.511,227.507
13307.235,3311230.25,226.305
13305.46,3311240.09,225.103
13304.176,3311250.007,223.902
13303.078,3311259.946,222.7
13301.98,3311269.886,221.498
13300.883,3311279.826,220.304
13299.785,3311289.765,219.127
13298.688,3311299.705,217.966
13297.59,3311309.644,216.821
13296.492,3311319.584,215.693
13295.395,3311329.524,214.581
13294.297,3311339.463,213.485
